aid	bvid	created	title	length	description	play	comment	review	coin	danmaku	favorite	like	reply	share
70938985	BV1PE411Z7dK	1570847684	骁话一下：弹劾特朗普，需要几步？	10:35	民主党弹劾调查步步紧逼，恼怒的美国总统特朗是发推发令发脾气。其实，美国宪法虽然有弹劾总统的程序，但从来还没有谁被成功罢免下台。哪几位总统被弹劾过？特朗普犯了什么事儿遭到民主党反扑？这背后又有什么权力游戏？本期《骁话一下》就聊聊如何弹劾一位美国总统。	507792	1450	3762	5448	3762	3626	24413	1453	1192
58032011	BV1h4411c7gG	1562381458	骁话一下：香港的无为如何拖累香港？	10:31	香港作为国际金融中心，在中国和全球都有着重要的地位，但是过早地脱离实体经济让香港的产业和社会都陷入到了一种尴尬状态，也注定了香港经济后劲不足，原因有很多，大环境如地缘和国际局势，小环境方面，香港将无为而治奉为政治图腾对造成今日局面有着不可推卸的责任。本期《骁话一下》我们就聊聊香港说说香港的无为如何拖累香港。	1182652	2486	5623	11042	5625	10476	35232	2488	5506
242726473	BV1pe41147kj	1586571503	骁话一下：屯米又屯面，中国要粮食危机了？	15:55	受疫情影响，一些国家宣布限制农产品出口，网上阴谋论者开始炒作粮食危机，家族群上演屯米屯面大戏。这场所谓的“粮食危机”会来吗？要不要听爸妈话买米？本期#骁话一下#，我们就来聊聊粮食危机与中国的应对之策。	2175136	15600	50676	252964	50699	61314	323271	15605	39594
97510128	BV1K7411d7jX	1584588373	骁话一下：投下一半GDP，中国如何用数字化新基建打抗疫“世界大战”	15:23	新冠疫情发展至今，140多个国家，15万人确诊。不客气的说，此次疫情演变成了一场新“世界大战”，这次敌人不是法西斯或军国主义，而是病毒。75年前美苏靠强大的基建能力，集中力量打赢了二战。如今，中国领导世界抗疫，展示了大国实力，并宣布砸下49.6万亿相当于2019一半GDP，用于建设数字化新基建，打造强大社会后盾。本期# 骁话一下# 咱就聊聊，这次疫情咱们是如何用新基建打下抗疫“世界大战”。	1589428	5753	24807	90040	24816	25416	161611	5753	7559
42414999	BV1Mb411C7H4	1549083926	骁话一下：全世界最值钱的比赛，“美国春晚”超级碗	05:30	超级碗到底有多火？美国人口3亿多，观看比赛的人高达1亿多，估值远远超过奥运会和世界杯。美国成人网站都曾公布数据称，比赛期间的流量比平时下降了76%。今年超级碗刚好和我们的大年三十是同一天，中美两国人民将同时进入节日最高潮。本期《骁话一下》就来聊聊这场全世界商业价值最高的比赛。	256311	901	1467	1352	1467	1380	8427	901	204
43740114	BV1Ab411m7xA	1550296934	骁话一下：中国加入竞赛，带你回顾科幻片的历史	06:39	科幻片可以代表电影工业的最高水准，但遗憾的是，世界科幻电影几乎都是好莱坞在表演，西方的生活方式和价值观已经贯穿了科幻电影。《流浪地球》的出现，在电影场景、服道化、故事设计等方面都不输好莱坞大片。 我们期待未来拯救世界的旅途中，不再只有美国人回眸问起“谁加入”的特写，而是有越来越多的中国人用中国的方式诠释未来！ 无论2019年是不是中国科幻电影的元年，“我们决定，选择希望”	209812	819	1367	1805	1367	2024	7729	819	163
95493249	BV1tE411L7Pm	1583930530	骁话一下：沙特俄罗斯打得油价暴跌，中国人该怕吗？	12:54	视频中提到的埃及“大饼”政策  传送门：av56324933 周一原油价格大跌，美股出现黑色星期一，很多人认为油价暴跌导致股价暴跌。真是如此吗？石油是战略资源，它的价格如何影响国际局势？产油国之间的恩怨，新能源如何冲击旧能源，什么样的国家容易遭到油价变化的影响，中国如何应对？本期#骁话一下# 我们就聊聊沙特和俄罗斯之间的石油博弈。	2690428	5252	17714	168400	17719	46415	267426	5252	17374
81004047	BV1cJ411a7TE	1577530896	骁话一下：8年内战将北非天堂打成人间地狱，卡扎菲的黄粱一梦	15:07	利比亚又打起来了，12月19日反政府武装空袭了利比亚第三大城市米苏拉塔，死了25个人，反政府军首领要求政府武装部队离开首都的黎波里，否则将发动攻击。利比亚内战2011年开始，一直到今天这个国家都没有恢复和平，甚至被人称为北非索马里。造成今天这个状况，和利比亚国内外的复杂情况是分不开的。本期骁话一下我们就聊聊，从天堂堕入地狱的利比亚。	872739	3025	11119	32403	11122	9940	59118	3026	1406
96144609	BV1sE411V7Zw	1584151615	骁话一下：沙特抄王爷家，打爆油价四面树敌，到底想做啥？	18:05	政治封建、君主专制、不能喝酒、没有娱乐、女性地位极低…这次国际油价暴跌，再次把沙特这个国家拉入大家视野。沙特如何用中世纪的统治术，却活得比苏联还久？他们又为什么在这时选择和俄罗斯打石油战？本期 #骁话一下# 就来聊聊这个话题。 视频中提到的往期传送门【av41672028 美国在国际金融机构中的霸权行为】	1905398	4386	23588	166140	23594	36859	216542	4386	8694
94363774	BV1ZE411p7rB	1583559943	骁话一下：19年打掉2万亿，帝国坟场阿富汗在美国头上又应验了	11:30	2月29日，美国和塔利班签署和平协议，眼看着就可以获得和平并撤军，可阿富汗政府却故意不配合，强行又把美国拖下水，协议只坚持4天。阿富汗战争从2001年打到今天，19年了，美国烧了大把的钱也扶不起一个阿富汗政府，现在美国想走，塔利班想美国走，阿富汗政府舍不得美国走。阿富汗新闻怎么看？里头有哪些玩家？核心利益在哪里？本期＃骁话一下＃ 就聊聊阿富汗。	1542063	30	0	32356	0	12688	106979	30	4130
